"","summary(animals.model)$coeff$fixed"
"(Intercept)",24.591280994884
"age_59",-0.182837316097875
"demind1",-4.39034001343819
"timecp",-0.928405245555058
"SES",0.0392609064867838
"gender2",-0.557851967337383
"age_59:demind1",0.00550214158428812
