,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10
46,-3.8,35.97465494,-0.809621206,-0.548415358,0.015401637,-0.178544425,0.050324876,-5.294787645,-1.358036564,-0.809621206
47,-3.8,35.9711816,-1.191945271,-0.454209986,0.071790807,-0.197063704,0.168957858,-9.065703415,-1.646155257,-1.191945271
48,-4.2,35.37491415,-0.968471571,-0.109954161,0.045189326,-0.178243165,0.00562761,-5.128995398,-1.078425732,-0.968471571
49,-3.8,36.51645889,-1.053787064,-0.936101638,0.029546382,-0.184506446,0.015079349,-3.899118452,-1.989888702,-1.053787064
50,-3.3,35.88069419,-1.214264212,-0.489404509,0.021209378,-0.175345942,-0.016125999,-3.480873636,-1.703668721,-1.214264212
51,-2.3,28.49756424,-0.890264811,-0.80721789,0.06302298,-0.121716529,-0.280776068,4.672112492,-1.697482701,-0.890264811
52,-3.5,34.92261229,-0.839459431,-0.747588141,0.032480078,-0.168565163,-0.074260248,-2.786913077,-1.587047572,-0.839459431
53,-3.3,41.25391534,-1.277417471,-0.872847045,0.050792441,-0.240139657,0.113499957,-7.676960414,-2.150264516,-1.277417471
54,-3.9,34.03189097,-0.944131545,-0.092659635,0.061345294,-0.184199318,-0.004240047,-3.21974651,-1.036791179,-0.944131545
55,-3.4,43.51582688,-1.186736487,-0.897902165,-0.001641812,-0.241965221,0.062854772,-5.556987231,-2.084638652,-1.186736487
56,-4,36.86610289,-0.925955767,0.619826649,0.020296049,-0.200047945,-0.014801693,-4.204752813,-0.306129119,-0.925955767
57,-4.2,36.69363275,-0.890643374,-0.108763813,0.034693915,-0.194797868,-0.023855918,-4.027748575,-0.999407186,-0.890643374
58,-4.8,34.6624083,-0.7601316,0.911917019,0.048952213,-0.198904045,-0.047151931,-3.347692653,0.151785419,-0.7601316
59,-4,31.03917306,-0.786165777,-0.876215487,0.048654135,-0.131858861,-0.089047236,-1.419763542,-1.662381264,-0.786165777
60,-3.9,31.53413306,-0.910862426,-0.052557412,0.05387205,-0.148621134,0.075618808,-7.482109807,-0.963419838,-0.910862426
61,-4.7,34.60574393,-0.927519485,-0.150781451,0.027702977,-0.160834401,-0.009308989,-4.540843714,-1.078300935,-0.927519485
62,-3.9,34.66643407,-1.020794879,-0.423620544,0.051985502,-0.172714041,0.114536697,-7.387081688,-1.444415423,-1.020794879
63,-4.3,39.90574288,-0.97387891,-0.838345051,0.026732726,-0.209772795,0.062478431,-6.288568142,-1.81222396,-0.97387891
64,-3.8,39.53619469,-1.166250851,-1.164924644,0.040242564,-0.206515256,0.136070643,-8.279258402,-2.331175495,-1.166250851
65,-3.9,38.00818195,-0.974510503,-0.479507512,0.005939565,-0.188369739,-0.028526419,-3.856983598,-1.454018016,-0.974510503
66,-4.7,34.01510207,-0.990941148,0.289950839,0.072349918,-0.183232434,0.115146446,-7.920372753,-0.700990309,-0.990941148
67,-3.8,35.66988356,-1.093224732,-0.0343676,0.05157763,-0.186325869,0.002475878,-4.886262911,-1.127592332,-1.093224732
68,-4.8,31.00160858,-0.865161046,-0.004721237,0.035480482,-0.129595216,-0.067011748,-2.318239546,-0.869882284,-0.865161046
69,-5,38.8224514,-1.320167005,-0.48446851,0.054108641,-0.190804207,0.317615632,-13.83602622,-1.804635515,-1.320167005
70,-3.5,34.60610285,-1.020700781,0.936362456,0.025113005,-0.186457225,0.064427368,-7.207995429,-0.084338325,-1.020700781
71,-3.8,35.33527304,-0.511920331,-0.857503132,0.022008441,-0.178212003,-0.096320413,-1.298615612,-1.369423463,-0.511920331
72,-3.7,35.99077082,-1.035995512,-0.605486794,0.039114532,-0.182099051,0.033907391,-5.312060232,-1.641482306,-1.035995512
73,-3.9,37.29609551,-0.722504311,-1.307194612,0.042793572,-0.196539962,-0.063328337,-1.364572074,-2.029698923,-0.722504311
74,-3.9,40.28787882,-0.930963077,-1.53516136,0.02960497,-0.208302659,0.103202095,-7.458436507,-2.466124437,-0.930963077
75,-3.9,37.1699854,-0.757281768,-1.059121605,0.045413307,-0.196508494,-0.101269966,-1.00852383,-1.816403373,-0.757281768
76,-5.1,34.32284164,-0.904179176,-0.11060343,0.059801737,-0.175135873,0.046940147,-6.16323442,-1.014782606,-0.904179176
77,-5.5,38.21579893,-0.842368433,-0.170826766,0.019342792,-0.193340764,0.020901244,-5.694371781,-1.013195199,-0.842368433
78,-4.9,35.46538984,-0.844050234,-0.435479329,0.047358942,-0.176940945,-0.001962402,-4.636370684,-1.279529563,-0.844050234
79,-4.8,36.16133074,-1.047599203,-0.683709186,0.071809516,-0.194174563,0.064313186,-5.742756102,-1.73130839,-1.047599203
80,-3.8,32.53350486,-1.133321443,-0.194290718,0.050329389,-0.152556416,-0.036848501,-3.055555607,-1.327612162,-1.133321443
81,-4.5,38.11400451,-1.112733302,-0.233904018,0.009287207,-0.182833057,0.104336154,-7.867291734,-1.34663732,-1.112733302
82,-5,34.40928669,-1.046941093,-0.420562337,0.054385136,-0.158804804,0.168435452,-9.604222745,-1.46750343,-1.046941093
83,-3.9,39.08376862,-0.949066028,-1.299165862,0.029668084,-0.19898887,0.061301759,-6.944655551,-2.248231889,-0.949066028
84,-3.4,37.59093798,-1.125985544,-0.807848932,0.067468596,-0.205008832,0.167604518,-9.68775777,-1.933834475,-1.125985544
85,-5,39.30476277,-1.089353563,0.165990862,0.053481092,-0.216893056,0.119225571,-9.139368557,-0.923362701,-1.089353563
86,-4,34.02740985,-0.93257546,0.124870661,0.057626199,-0.181470851,0.026507933,-5.050977767,-0.807704799,-0.93257546
87,-3.8,38.83062031,-0.804782197,-0.678909815,0.034085274,-0.22054856,-0.083148416,-1.503169784,-1.483692012,-0.804782197
88,-3.1,36.74047748,-1.177354941,-1.601742976,0.04989993,-0.175113669,0.031258092,-5.87103648,-2.779097917,-1.177354941
89,-4,35.38330211,-1.121703285,-0.376502211,0.022886252,-0.163900879,0.025724923,-5.427784726,-1.498205496,-1.121703285
